u,v,key,osmid,highway,maxspeed,name,oneway,reversed,length,geometry,lanes,ref,junction,width,bridge,access,tunnel,service,est_width
21031941,21031942,0,25684391,primary,30 mph,Cumberland Basin Road,True,False,15.966773337423568,"LINESTRING (-2.6189914 51.4484815, -2.6190872 51.4484822, -2.6192212 51.4484901)",2,A4,,,,,,,
21031942,21031954,0,"[279444016, 4002663]",trunk_link,"['30 mph', '40 mph']",Humphry Davy Way,True,False,201.6631898772854,"LINESTRING (-2.6192212 51.4484901, -2.6195968 51.4486134, -2.6196573 51.4486317, -2.6198615 51.4486904, -2.6210399 51.4490071, -2.6211467 51.449034, -2.6212672 51.4490585, -2.6213758 51.4490752, -2.6214985 51.4490826, -2.6215663 51.4490825, -2.6216323 51.4490802, -2.6216949 51.4490762, -2.6217486 51.4490701, -2.6219223 51.449037)",2,,,,yes,,,,
21031942,280004750,0,4002721,primary,30 mph,Cumberland Basin Road,True,False,123.34853227723602,"LINESTRING (-2.6192212 51.4484901, -2.6194988 51.4485245, -2.6201858 51.4486462, -2.6205954 51.4486967, -2.6209585 51.4487209)",2,A4,,,,,,,
21032139,280005920,0,"[25691248, 531205741, 25684430]",trunk_link,"['30 mph', '40 mph']",Bristol Gate,True,False,119.19704155837539,"LINESTRING (-2.6223149 51.4488969, -2.6219463 51.4493727, -2.6218611 51.449477, -2.6217742 51.4495554, -2.6217439 51.4495773, -2.6216808 51.4496292, -2.6216195 51.4496722, -2.6215225 51.4497339, -2.6214064 51.4497929)",2,,,,yes,,,,
21032616,17486554,0,38696931,primary,20 mph,,False,False,23.798953760536357,"LINESTRING (-2.5983834 51.4523646, -2.5985516 51.4523266, -2.5987135 51.4523083)",,A4018,,,,,,,
21032616,921648226,0,686430347,primary,20 mph,St Augustine's Parade,False,True,17.65305709072374,"LINESTRING (-2.5983834 51.4523646, -2.5982482 51.4524691, -2.5982266 51.4524896)",2,A4018,,,,,,,
21032624,6841851183,0,730317886,service,,,False,False,72.56792132101191,"LINESTRING (-2.5951546 51.4573199, -2.595567 51.4579198)",,,,,,,,,
21032625,21032624,0,202761561,primary,20 mph,Lewins Mead,True,False,22.71455498442054,"LINESTRING (-2.5954039 51.4571877, -2.5952744 51.4572636, -2.5951546 51.4573199)",2,A38,,,,,,,
21037682,822708026,0,4313840,residential,20 mph,Beaufort Road,False,False,73.18705921763173,"LINESTRING (-2.6180829 51.464272, -2.6172334 51.4646633)",,,,,,,,,
21037682,8231098756,0,692648521,secondary,20 mph,Pembroke Road,False,True,38.01690429690692,"LINESTRING (-2.6180829 51.464272, -2.6183037 51.464585)",,B4467,,,,,,,
21037682,21037683,0,692648521,secondary,20 mph,Pembroke Road,False,False,60.029611613368786,"LINESTRING (-2.6180829 51.464272, -2.6180021 51.4641643, -2.6176327 51.4638118)",,B4467,,,,,,,
21037683,6502743303,0,692648521,secondary,20 mph,Pembroke Road,False,False,13.417658930114538,"LINESTRING (-2.6176327 51.4638118, -2.6175255 51.4637113)",,B4467,,,,,,,
21037683,21037684,0,4003171,unclassified,20 mph,Guthrie Road,False,True,85.56638644023178,"LINESTRING (-2.6176327 51.4638118, -2.6184061 51.4634921, -2.6186675 51.4633918)",,,,,,,,,
